config,lambda_decor,probe_scope,metric,mean,std
dec0,0,large_val_SC,mAP_AVG,32.02124629284335,0.1754556219633261
dec0,0,large_val_SC,nDCG_AVG,46.06997439979792,0.20225791245293562
dec0,0,large_val_SC,NounMgn,0.05456561719377836,0.0011355835855172865
dec0,0,large_val_SC,VerbMgn,0.07669720302025478,0.00245481177558658
dec0,0,large_val_SC,Noun_rho,0.009177149387242092,0.007877795395098666
dec0,0,large_val_SC,Verb_rho,-0.08574369742174275,0.013635138311198187
