config,metric,mean,std
dec0,mAP_AVG,32.021242884153736,0.17545795652514437
dec0,nDCG_AVG,46.069960576469555,0.2022818419655218
dec0,SC_noun_margin,0.04159685616283334,0.004355707527097852
dec0,UC_noun_margin,0.1020418768123611,0.006867731797459881
dec0,C3_SC_spearman,0.1990993902687628,0.04564031577320055
dec1,mAP_AVG,32.183824604293946,0.06959093770818149
dec1,nDCG_AVG,45.87447637607742,0.32776429029958737
dec1,SC_noun_margin,0.04335151200099167,0.0024162903755103214
dec1,UC_noun_margin,0.10374278896638889,0.005799861274938203
dec1,C3_SC_spearman,0.244622223167508,0.04659159222279176
dec50,mAP_AVG,31.904019036848478,0.3047082814742743
dec50,nDCG_AVG,45.50870725684789,0.29305126912249513
dec50,SC_noun_margin,0.03960506350068333,0.002496753569638323
dec50,UC_noun_margin,0.09089044347852777,0.01475104254783075
dec50,C3_SC_spearman,0.23527228418143833,0.04408318872289343
dec100,mAP_AVG,31.916190364745976,0.1811921377798866
dec100,nDCG_AVG,45.761611014640145,0.2944118393449341
dec100,SC_noun_margin,0.04176997465505,0.002215248338778117
dec100,UC_noun_margin,0.10106305354722223,0.005756897722783716
dec100,C3_SC_spearman,0.23080635009824668,0.10685637839452591
